Rk_batting,Name,Age_batting,Tm_batting,Lg_x,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,Rk_pitching,Age_pitching,Tm_pitching,Lg_y,W,L,W-L%,ERA,G_y,GS,GF,CG,SHO,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
90,Alec Burleson*,24,STL,NL,67,218,198,22,47,10,1,6,21,0,1,13,23,0.237,0.29,0.389,0.679,84,77,9,2,1,1,0,106,24,STL,NL,0,0,0.0,21.6,2,0,2,0,0,0,1.2,8,4,4,1,0,0,1,0,0,0,13,24,9.89,4.8,43.2,5.4,0.0,5.4,0.0
95,Génesis Cabrera*,26,STL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,112,26,STL,NL,1,1,0.5,5.06,32,0,10,0,0,0,32.0,32,18,18,6,18,0,38,0,1,0,143,86,5.04,1.563,9.0,1.7,5.1,10.7,2.11
103,Yennier Cano,29,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,116,29,BAL,AL,1,1,0.5,1.51,42,0,7,0,0,4,47.2,38,8,8,2,6,1,41,2,1,1,178,279,2.62,0.923,7.2,0.4,1.1,7.7,6.83
115,Miguel Castro,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,126,28,ARI,NL,5,4,0.556,3.83,44,0,16,0,0,7,40.0,27,17,17,5,15,3,32,1,0,0,161,112,4.51,1.05,6.1,1.1,3.4,7.2,2.13
121,Aroldis Chapman*,35,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,131,35,TOT,AL,5,2,0.714,2.04,37,0,11,0,0,3,35.1,18,10,8,0,20,0,63,0,1,2,142,219,1.42,1.075,4.6,0.0,5.1,16.0,3.15
121,Aroldis Chapman*,35,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,132,35,KCR,AL,4,2,0.667,2.45,31,0,9,0,0,2,29.1,16,10,8,0,20,0,53,0,1,2,122,181,1.72,1.227,4.9,0.0,6.1,16.3,2.65
121,Aroldis Chapman*,35,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,133,35,TEX,AL,1,0,1.0,0.0,6,0,2,0,0,1,6.0,2,0,0,0,0,0,10,0,0,0,20,0,-0.04,0.333,3.0,0.0,0.0,15.0,0.0
122,Aroldis Chapman*,35,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,131,35,TOT,AL,5,2,0.714,2.04,37,0,11,0,0,3,35.1,18,10,8,0,20,0,63,0,1,2,142,219,1.42,1.075,4.6,0.0,5.1,16.0,3.15
122,Aroldis Chapman*,35,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,132,35,KCR,AL,4,2,0.667,2.45,31,0,9,0,0,2,29.1,16,10,8,0,20,0,53,0,1,2,122,181,1.72,1.227,4.9,0.0,6.1,16.3,2.65
122,Aroldis Chapman*,35,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,133,35,TEX,AL,1,0,1.0,0.0,6,0,2,0,0,1,6.0,2,0,0,0,0,0,10,0,0,0,20,0,-0.04,0.333,3.0,0.0,0.0,15.0,0.0
128,Ernie Clement,27,TOR,AL,11,9,7,3,3,0,0,0,2,1,0,1,1,0.429,0.444,0.429,0.873,148,3,0,0,0,1,0,145,27,TOR,AL,0,0,0.0,9.0,1,0,1,0,0,0,1.0,3,1,1,0,0,0,0,1,0,0,7,63,6.29,3.0,27.0,0.0,0.0,0.0,0.0
136,Danny Coulombe*,33,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,156,33,BAL,AL,3,1,0.75,2.91,41,0,7,0,0,1,34.0,30,11,11,3,7,0,41,2,2,0,139,145,2.82,1.088,7.9,0.8,1.9,10.9,5.86
140,Kutter Crawford,27,BOS,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,163,27,BOS,AL,4,5,0.444,4.04,19,11,5,0,0,0,71.1,63,33,32,12,17,0,69,2,0,3,289,116,4.34,1.121,7.9,1.5,2.1,8.7,4.06
160,Alexis Díaz,26,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,187,26,CIN,NL,3,1,0.75,2.01,46,0,35,0,0,29,44.2,25,11,10,2,19,0,67,5,0,3,180,236,2.48,0.985,5.0,0.4,3.8,13.5,3.53
167,Brandon Dixon,31,SDP,NL,33,86,79,10,16,4,0,2,9,1,0,1,31,0.203,0.244,0.329,0.573,60,26,1,4,0,2,0,191,31,SDP,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
168,Josh Donaldson,37,NYY,AL,33,120,106,13,15,1,0,10,15,0,0,12,32,0.142,0.225,0.434,0.659,78,46,2,0,0,2,0,194,37,NYY,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
170,Camilo Doval,25,SFG,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,195,25,SFG,NL,2,3,0.4,2.4,45,0,42,0,0,30,45.0,29,16,12,2,18,3,59,6,2,8,184,180,2.84,1.044,5.8,0.4,3.6,11.8,3.28
175,Daniel Duarte,26,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,197,26,CIN,NL,1,0,1.0,2.77,14,0,3,0,0,0,13.0,10,5,4,2,9,0,10,0,0,1,57,175,5.83,1.462,6.9,1.4,6.2,6.9,1.11
177,Matt Duffy,32,KCR,AL,50,128,117,11,32,6,0,1,8,0,0,7,25,0.274,0.328,0.35,0.679,89,41,2,3,0,1,0,199,32,KCR,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,0,3.29,1.0,9.0,0.0,0.0,0.0,0.0
181,Nate Eaton,26,KCR,AL,28,56,53,2,4,0,0,0,1,3,0,2,21,0.075,0.125,0.075,0.2,-42,4,0,1,0,0,0,202,26,KCR,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,2,0,0,0,0,0,1,0,0,0,5,0,1.29,2.0,18.0,0.0,0.0,9.0,0.0
212,David Fry,27,CLE,AL,34,67,62,7,18,3,0,2,10,2,0,4,20,0.29,0.343,0.435,0.779,117,27,2,1,0,0,0,236,27,CLE,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
213,Michael Fulmer,30,CHC,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,240,30,CHC,NL,1,5,0.167,4.43,44,1,12,0,0,1,44.2,37,23,22,6,22,0,48,0,0,4,183,101,4.36,1.321,7.5,1.2,4.4,9.7,2.18
224,Ian Gibaut,29,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,259,29,CIN,NL,8,2,0.8,3.12,46,0,10,0,0,1,49.0,40,20,17,6,19,3,42,4,0,0,202,152,4.57,1.204,7.3,1.1,3.5,7.7,2.21
225,Kyle Gibson,35,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,260,35,BAL,AL,9,6,0.6,4.76,21,21,0,0,0,0,121.0,124,64,64,10,40,0,98,5,0,7,517,88,3.86,1.355,9.2,0.7,3.0,7.3,2.45
226,Logan Gillaspie,26,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,263,26,BAL,AL,0,1,0.0,6.0,11,0,3,0,0,0,9.0,14,7,6,2,5,0,8,1,0,1,46,72,6.4,2.111,14.0,2.0,5.0,8.0,1.6
234,Victor González*,27,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,272,27,LAD,NL,2,3,0.4,5.32,25,1,4,0,0,0,23.2,23,14,14,2,7,1,22,3,0,1,100,84,3.8,1.268,8.7,0.8,2.7,8.4,3.14
238,Brusdar Graterol,24,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,277,24,LAD,NL,3,2,0.6,1.74,43,1,11,0,0,4,41.1,40,13,8,2,7,0,29,1,0,2,164,256,3.1,1.137,8.7,0.4,1.5,6.3,4.14
239,Jon Gray,31,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,279,31,TEX,AL,6,5,0.545,3.31,18,18,0,1,0,0,103.1,89,40,38,13,34,1,83,6,0,4,419,132,4.48,1.19,7.8,1.1,3.0,7.2,2.44
251,Josh Hader*,29,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,289,29,SDP,NL,0,1,0.0,0.97,39,0,33,0,0,24,37.0,16,6,4,1,19,1,55,2,0,2,147,422,2.37,0.946,3.9,0.2,4.6,13.4,2.89
262,Josh Harrison,35,PHI,NL,38,106,96,8,21,3,0,2,10,0,0,3,20,0.219,0.274,0.313,0.586,61,30,2,5,0,2,0,295,35,PHI,NL,0,0,0.0,27.0,2,0,2,0,0,0,1.2,8,5,5,0,2,0,0,0,0,0,15,19,6.89,6.0,43.2,0.0,10.8,0.0,0.0
266,Taylor Hearn*,28,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,301,28,TEX,AL,0,0,0.0,10.29,4,0,2,0,0,0,7.0,9,8,8,1,4,0,7,0,0,0,34,44,4.86,1.857,11.6,1.3,5.1,9.0,1.75
272,Ryan Helsley,28,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,304,28,STL,NL,3,4,0.429,3.24,22,0,16,0,0,7,25.0,18,10,9,1,11,1,33,1,1,2,103,135,2.61,1.16,6.5,0.4,4.0,11.9,3.0
